zip,stcountyfp,city,state,countyname,classfp
24576,51031,Naruna,VA,Campbell County,H1
24551,51031,Forest,VA,Campbell County,H1
24569,51031,Long island,VA,Campbell County,H1
24571,51031,Lynch station,VA,Campbell County,H1
23963,51031,Red house,VA,Campbell County,H1
22427,51033,Bowling green,VA,Caroline County,H1
22438,51033,Champlain,VA,Caroline County,H1
22408,51033,Fredericksburg,VA,Caroline County,H1
22514,51033,Milford,VA,Caroline County,H1
22560,51033,Tappahannock,VA,Caroline County,H1
22436,51033,Caret,VA,Caroline County,H1
22535,51033,Port royal,VA,Caroline County,H1
22552,51033,Sparta,VA,Caroline County,H1
22546,51033,Ruther glen,VA,Caroline County,H1
22446,51033,Corbin,VA,Caroline County,H1
22580,51033,Woodford,VA,Caroline County,H1
22501,51033,Ladysmith,VA,Caroline County,H1
23015,51033,Beaverdam,VA,Caroline County,H1
23047,51033,Doswell,VA,Caroline County,H1
22428,51033,Bowling green,VA,Caroline County,H1
23069,51033,Hanover,VA,Caroline County,H1
22538,51033,Rappahannock academy,VA,Caroline County,H1
24330,51035,Fries,VA,Carroll County,H1
24360,51035,Max meadows,VA,Carroll County,H1
24333,51035,Galax,VA,Carroll County,H1
24317,51035,Cana,VA,Carroll County,H1
24328,51035,Fancy gap,VA,Carroll County,H1
24352,51035,Laurel fork,VA,Carroll County,H1
24053,51035,Ararat,VA,Carroll County,H1
24105,51035,Indian valley,VA,Carroll County,H1
24347,51035,Hiwassee,VA,Carroll County,H1
24350,51035,Ivanhoe,VA,Carroll County,H1
24343,51035,Hillsville,VA,Carroll County,H1
24120,51035,Meadows of dan,VA,Carroll County,H1
24325,51035,Dugspur,VA,Carroll County,H1
24312,51035,Austinville,VA,Carroll County,H1
24380,51035,Willis,VA,Carroll County,H1
24381,51035,Woodlawn,VA,Carroll County,H1
24351,51035,Lambsburg,VA,Carroll County,H1
23030,51036,Charles city,VA,Charles City County,H1
23185,51036,Williamsburg,VA,Charles City County,H1
23147,51036,Ruthville,VA,Charles City County,H1
23231,51036,Henrico,VA,Charles City County,H1
23140,51036,Providence forge,VA,Charles City County,H1
23937,51037,Drakes branch,VA,Charlotte County,H1
23959,51037,Phenix,VA,Charlotte County,H1
23967,51037,Saxe,VA,Charlotte County,H1
23962,51037,Randolph,VA,Charlotte County,H1
23947,51037,Keysville,VA,Charlotte County,H1
23934,51037,Cullen,VA,Charlotte County,H1
23924,51037,Chase city,VA,Charlotte County,H1
24522,51037,Appomattox,VA,Charlotte County,H1
24528,51037,Brookneal,VA,Charlotte County,H1
23964,51037,Red oak,VA,Charlotte County,H1
23927,51037,Clarksville,VA,Charlotte County,H1
23976,51037,Wylliesburg,VA,Charlotte County,H1
23923,51037,Charlotte court house,VA,Charlotte County,H1
23958,51037,Pamplin,VA,Charlotte County,H1
23963,51037,Red house,VA,Charlotte County,H1
23224,51041,Richmond,VA,Chesterfield County,H1
23235,51041,Richmond,VA,Chesterfield County,H1
23834,51041,Colonial heights,VA,Chesterfield County,H1
23113,51041,Midlothian,VA,Chesterfield County,H1
23114,51041,Midlothian,VA,Chesterfield County,H1
23112,51041,Midlothian,VA,Chesterfield County,H1
23236,51041,Richmond,VA,Chesterfield County,H1
23803,51041,Petersburg,VA,Chesterfield County,H1
23838,51041,Chesterfield,VA,Chesterfield County,H1
23120,51041,Moseley,VA,Chesterfield County,H1
23832,51041,Chesterfield,VA,Chesterfield County,H1
23234,51041,Richmond,VA,Chesterfield County,H1
23831,51041,Chester,VA,Chesterfield County,H1
23836,51041,Chester,VA,Chesterfield County,H1
23225,51041,Richmond,VA,Chesterfield County,H1
23237,51041,Richmond,VA,Chesterfield County,H1
23297,51041,Richmond,VA,Chesterfield County,H1
22630,51043,Front royal,VA,Clarke County,H1
20135,51043,Bluemont,VA,Clarke County,H1
20130,51043,Paris,VA,Clarke County,H1
22611,51043,Berryville,VA,Clarke County,H1
22620,51043,Boyce,VA,Clarke County,H1
22663,51043,White post,VA,Clarke County,H1
22646,51043,Millwood,VA,Clarke County,H1
24128,51045,Newport,VA,Craig County,H1
24127,51045,New castle,VA,Craig County,H1
24070,51045,Catawba,VA,Craig County,H1
24131,51045,Paint bank,VA,Craig County,H1
24426,51045,Covington,VA,Craig County,H1
20186,51047,Warrenton,VA,Culpeper County,H1
22718,51047,Elkwood,VA,Culpeper County,H1
22726,51047,Lignum,VA,Culpeper County,H1
22714,51047,Brandy station,VA,Culpeper County,H1
20106,51047,Amissville,VA,Culpeper County,H1
22736,51047,Richardsville,VA,Culpeper County,H1
22733,51047,Rapidan,VA,Culpeper County,H1
22729,51047,Mitchells,VA,Culpeper County,H1
22716,51047,Castleton,VA,Culpeper County,H1
22724,51047,Jeffersonton,VA,Culpeper County,H1
22713,51047,Boston,VA,Culpeper County,H1
22701,51047,Culpeper,VA,Culpeper County,H1
22735,51047,Reva,VA,Culpeper County,H1
22734,51047,Remington,VA,Culpeper County,H1
22741,51047,Stevensburg,VA,Culpeper County,H1
22740,51047,Sperryville,VA,Culpeper County,H1
22407,51047,Fredericksburg,VA,Culpeper County,H1
22737,51047,Rixeyville,VA,Culpeper County,H1
23936,51049,Dillwyn,VA,Cumberland County,H1
23027,51049,Cartersville,VA,Cumberland County,H1
23901,51049,Farmville,VA,Cumberland County,H1
23038,51049,Columbia,VA,Cumberland County,H1
23123,51049,New canton,VA,Cumberland County,H1
23040,51049,Cumberland,VA,Cumberland County,H1
23139,51049,Powhatan,VA,Cumberland County,H1
24237,51051,Dante,VA,Dickenson County,H1
24230,51051,Coeburn,VA,Dickenson County,H1
24220,51051,Birchleaf,VA,Dickenson County,H1
24226,51051,Clinchco,VA,Dickenson County,H1
24256,51051,Haysi,VA,Dickenson County,H1
24225,51051,Cleveland,VA,Dickenson County,H1
24283,51051,Saint paul,VA,Dickenson County,H1
24607,51051,Breaks,VA,Dickenson County,H1
24656,51051,Vansant,VA,Dickenson County,H1
24228,51051,Clintwood,VA,Dickenson County,H1
24217,51051,Bee,VA,Dickenson County,H1
24272,51051,Nora,VA,Dickenson County,H1
24269,51051,Mc clure,VA,Dickenson County,H1
23833,51053,Church road,VA,Dinwiddie County,H1
23803,51053,Petersburg,VA,Dinwiddie County,H1
23840,51053,Dewitt,VA,Dinwiddie County,H1
23805,51053,Petersburg,VA,Dinwiddie County,H1
23885,51053,Sutherland,VA,Dinwiddie County,H1
23872,51053,Mc kenney,VA,Dinwiddie County,H1
23824,51053,Blackstone,VA,Dinwiddie County,H1
23882,51053,Stony creek,VA,Dinwiddie County,H1
23894,51053,Wilsons,VA,Dinwiddie County,H1
23850,51053,Ford,VA,Dinwiddie County,H1
23830,51053,Carson,VA,Dinwiddie County,H1
23841,51053,Dinwiddie,VA,Dinwiddie County,H1
22438,51057,Champlain,VA,Essex County,H1
23148,51057,Saint stephens church,VA,Essex County,H1
22454,51057,Dunnsville,VA,Essex County,H1
22509,51057,Loretto,VA,Essex County,H1
22560,51057,Tappahannock,VA,Essex County,H1
22436,51057,Caret,VA,Essex County,H1
23023,51057,Bruington,VA,Essex County,H1
23115,51057,Millers tavern,VA,Essex County,H1
22437,51057,Center cross,VA,Essex County,H1
22476,51057,Hustle,VA,Essex County,H1
22504,51057,Laneview,VA,Essex County,H1
20171,51059,Herndon,VA,Fairfax County,H1
22151,51059,Springfield,VA,Fairfax County,H1
22180,51059,Vienna,VA,Fairfax County,H1
22122,51059,Newington,VA,Fairfax County,H1
22181,51059,Vienna,VA,Fairfax County,H1
22315,51059,Alexandria,VA,Fairfax County,H1
22027,51059,Dunn loring,VA,Fairfax County,H1
22106,51059,Mc lean,VA,Fairfax County,H1
20195,51059,Reston,VA,Fairfax County,H1
22037,51059,Fairfax,VA,Fairfax County,H1
22158,51059,Springfield,VA,Fairfax County,H1
20192,51059,Herndon,VA,Fairfax County,H1
20124,51059,Clifton,VA,Fairfax County,H1
20120,51059,Centreville,VA,Fairfax County,H1
20164,51059,Sterling,VA,Fairfax County,H1
20191,51059,Reston,VA,Fairfax County,H1
22003,51059,Annandale,VA,Fairfax County,H1
22030,51059,Fairfax,VA,Fairfax County,H1
22043,51059,Falls church,VA,Fairfax County,H1
22102,51059,Mc lean,VA,Fairfax County,H1
22308,51059,Alexandria,VA,Fairfax County,H1
22121,51059,Mount vernon,VA,Fairfax County,H1
22035,51059,Fairfax,VA,Fairfax County,H1
22081,51059,Merrifield,VA,Fairfax County,H1
22082,51059,Merrifield,VA,Fairfax County,H1
22044,51059,Falls church,VA,Fairfax County,H1
22183,51059,Vienna,VA,Fairfax County,H1
22312,51059,Alexandria,VA,Fairfax County,H1
22159,51059,Springfield,VA,Fairfax County,H1
22108,51059,Mc lean,VA,Fairfax County,H1
20041,51059,Washington,VA,Fairfax County,H1
22161,51059,Springfield,VA,Fairfax County,H1
20190,51059,Reston,VA,Fairfax County,H1
20194,51059,Reston,VA,Fairfax County,H1
22041,51059,Falls church,VA,Fairfax County,H1
22101,51059,Mc lean,VA,Fairfax County,H1
22124,51059,Oakton,VA,Fairfax County,H1
22150,51059,Springfield,VA,Fairfax County,H1
22204,51059,Arlington,VA,Fairfax County,H1
22302,51059,Alexandria,VA,Fairfax County,H1
22304,51059,Alexandria,VA,Fairfax County,H1
22067,51059,Greenway,VA,Fairfax County,H1
